 6.74 , 6.94 ,-1.12 , 6.31 , 7.49 ,-2.67 , 7.64 , 0.17 ,-3.48 , 9.82
 6.94 ,-4.79 , 6.40 ,-6.88 , 9.81 , 0.82 , 9.58 , 9.61 ,-6.88 ,-5.17
-1.12 , 6.40 ,-8.91 ,-7.15 , 4.13 , 7.81 , 4.12 , 3.17 ,-4.78 , 9.87
 6.31 ,-6.88 ,-7.15 , 2.25 , 7.91 ,-5.84 , 2.72 , 4.64 , 4.63 ,-1.86
 7.49 , 9.81 , 4.13 , 7.91 , 7.01 ,-9.05 ,-5.94 ,-3.81 , 9.55 ,-6.44
-2.67 , 0.82 , 7.81 ,-5.84 ,-9.05 , 9.39 ,-0.31 , 0.17 ,-3.06 , 9.57
 7.64 , 9.58 , 4.12 , 2.72 ,-5.94 ,-0.31 ,-6.10 ,-5.11 , 7.02 , 6.80
 0.17 , 9.61 , 3.17 , 4.64 ,-3.81 , 0.17 ,-5.11 , 6.47 , 3.42 ,-9.30
-3.48 ,-6.88 ,-4.78 , 4.63 , 9.55 ,-3.06 , 7.02 , 3.42 , 7.83 , 9.23
 9.82 ,-5.17 , 9.87 ,-1.86 ,-6.44 , 9.57 , 6.80 ,-9.30 , 9.23 ,-4.01
